artist,lastfm_listeners,lastfm_playcount,similar_1,similar_2,similar_3
Adolphe Adam,116220,642559,Evergreen Symphony Orchestra,Riccardo Drigo,Victor Fedotov
Adolphson & Falk,67295,608798,Linnea Henriksson,Jonathan Johansson,Magnus Uggla
Adon,45903,291205,Hecatoncheir,Kvaen,Vredehammer
Adoniran Barbosa,342905,5638635,Cartola,Zé Keti,Nelson Cavaquinho
Adonis,96724,541721,Marshall Jefferson,Mr. Fingers,Mr. Lee
Adoo,9473,50547,Rhymes & Riddim,Dani M,Stor
Ados,7023,175846,Şanışer,Hayki,Allame
Adrenalize,53140,715051,Demi Kanon,Refuzion,Atmozfears
Adrian Barba,28883,417007,Ricardo Silva,Miura Jam,César Franco
Adriana Arydes,7244,90188,Walmir Alencar,Flavio Vitor Jr.,Cantos do Hinário Litúrgico da CNBB
Adriana Calcanhotto,416033,11246332,Marisa Monte,Marina Lima,Zélia Duncan
Adriana Partimpim,416033,11246332,Marisa Monte,Marina Lima,Zélia Duncan
Adriana Varela,51150,387847,Sexteto Mayor,Mariano Mores,La Chicana
Adriatique,123093,1094575,Colyn,ARTBAT,Fideles
Adryana E A Rapaziada,16749,133078,Karametade,Só Pra Contrariar,Os Travessos
Advait,7689,83796,Punit Singh,Piyush Bhisekar,Bharg
Advaita,7150,121160,Swarathma,Motherjane,Blackstratblues
Adventure Club,313400,4254597,Seven Lions,ARMNHMR,Flux Pavilion
Adventurer,31313,491783,AnimalJam,I Met A Yeti,Properties of Nature
Adzmilli,8564,90269,Kay9ine,K1,ArtistRD
Aeoliah,72346,847480,Deuter,Karunesh,Llewellyn
Aerosmith,4110371,102749598,Guns N' Roses,Van Halen,Alice Cooper
Aesma Daeva,90690,1259097,The Sins of Thy Beloved,Tristania,Sirenia
Aesthetic Perfection,115345,4640686,Faderhead,Grendel,Solar Fake
Aestivum,25376,72886,Almeda,Albin Svensson,Rebecca Kruse
Aether,152941,2637708,Vesky,Emancipator,Ambyion
Aevum,3294,35583,Ravenword,Souls of Diotima,Master Dy
Aexcit,30208,158921,Toby Rose,Kid On The Block,Namic
Afgan,65254,1299598,Tiara Andini,Maudy Ayunda,Yovie & Nuno
Afgrund,14123,469613,The Arson Project,Sayyadina,Infanticide
Africania,2005,11495,Afoxé Oyá Alaxé,Guga Stroeter,Jorge Alabe
Afro B,110567,829011,Maleek Berry,Mr Eazi,Davido
Afro Nursery Rhymes,29,69,Jean-Emile Biayenda,Pequenos Atos,Aline Romeiro
Afrocidade,20807,272445,Nêssa,Larissa Luz,Livia Nery
Afrojack,850988,9123221,Hardwell,Alesso,Martin Garrix
Afroman,849432,6932132,D12,Yung Gravy,Geto Boys
After Forever,337482,12789447,ReVamp,Epica,Xandria
After The Burial,224432,9534308,Born of Osiris,Veil of Maya,The Acacia Strain
AfterU,8362,27510,arude,Layer J,Lokovski
Aftercoma,1579,24724,Burgerkill,Beside,Nectura
Against Me!,756955,41096845,Laura Jane Grace,She/Her/Hers,"Defiance, Ohio"
Against The Current,244052,10879780,Chrissy Costanza,We Are the In Crowd,Yours Truly
Agalloch,414353,28179553,Alcest,Wolves in the Throne Room,Empyrium
Agam,6778,100276,Mahesh Raghvan,Motherjane,Anand Bhaskar Collective
Agathocles,46933,2096491,Archagathus,Haggus,Unholy Grave
Age Of Love,73614,338522,UMEK,Binary Finary,BBE
